model,fold,acc,prec,rec,f1,f1_weighted,auc,auc_pr,mcc,kappa,specificity,npv,brier,log_loss_val,inference_ms
XGBoost,1,0.975,0.9615384615384616,1.0,0.9803921568627451,0.9748140635564571,1.0,1.0,0.9473309334313418,0.9459459459459459,0.9333333333332711,0.9999999999999286,0.022393685162628178,0.07851056254379218,0.0567549999914263
XGBoost,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,0.0007336533149680856,0.012127848671673462,0.040577499999017164
XGBoost,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999333,0.9999999999999333,0.0003402294886207895,0.007103358800303744,0.03146250001009321
XGBoost,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,0.00024239647201440743,0.009198166016825262,0.03484999999727734
XGBoost,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,0.0031367585787994553,0.018658973893921613,0.030519999995703984
XGBoost,6,0.95,1.0,0.92,0.9583333333333334,0.9505208333333334,0.9866666666666668,0.9926373626373627,0.9009798587550961,0.8961038961038961,0.9999999999999333,0.8823529411764188,0.038691185976122464,0.1161223049641807,0.0317499999937354
XGBoost,7,0.975,0.9615384615384616,1.0,0.9803921568627451,0.9748140635564571,1.0,1.0,0.9473309334313418,0.9459459459459459,0.9333333333332711,0.9999999999999286,0.02120682119751201,0.06858258997159081,0.036322500000096625
XGBoost,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,0.001148464251610189,0.013435725699502615,0.03268499999649066
XGBoost,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999333,0.9999999999999333,0.0005262984750829259,0.009400151656905203,0.030802500009485808
XGBoost,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,0.0005226290253349736,0.00918034086328021,0.03004000000146334
Classical TabTransformer,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,0.0003456517081100425,0.0034311212413607136,0.0
Classical TabTransformer,2,0.95,0.96,0.96,0.96,0.95,0.992,0.9957142857142858,0.8933333333333333,0.8933333333333333,0.9333333333332711,0.9333333333332711,0.040313553365849485,0.13039467970618238,0.0
Classical TabTransformer,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999333,0.9999999999999333,4.8728637576532214e-08,0.00014965438553296516,0.0
Classical TabTransformer,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,4.685843815133811e-08,0.0001763265252447511,0.0
Classical TabTransformer,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,8.612805547141116e-09,8.763952599901216e-05,0.0
Classical TabTransformer,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,1.5946719139718416e-05,0.001378041644954166,0.0
Classical TabTransformer,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,3.5152552201292253e-06,0.0006372050215609868,0.0
Classical TabTransformer,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999333,0.9999999999999333,4.857565252647844e-08,0.0001473833723316978,0.0
Classical TabTransformer,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999333,0.9999999999999333,9.55837377728593e-08,0.00020396722629998677,0.0
Classical TabTransformer,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,4.0802254365176105e-08,0.00014677896558472377,0.0
LightGBM,1,0.975,0.9615384615384616,1.0,0.9803921568627451,0.9748140635564571,1.0,1.0,0.9473309334313418,0.9459459459459459,0.9333333333332711,0.9999999999999286,0.01076194694232349,0.026890057451679262,0.08083000000169704
LightGBM,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,5.6614900064430577e-05,0.0013815763370057478,0.059325000006538176
LightGBM,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,1.4244176115513676e-07,0.00011551794085738099,0.06666500000847009
LightGBM,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,2.2863389693538494e-07,0.00018945230497370292,0.052857500008940406
LightGBM,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,5.268887329270065e-06,0.0004678755183954764,0.05097000000660046
LightGBM,6,0.975,1.0,0.96,0.9795918367346939,0.9751481237656353,0.9973333333333334,0.9984615384615385,0.9486832980505139,0.9473684210526316,0.9999999999999333,0.9374999999999415,0.025574000732765806,0.15205605656937898,0.04751750000195898
LightGBM,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,0.00025552862120617194,0.004895926135332173,0.05141750000348111
LightGBM,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,1.9407020912670866e-05,0.0008451784664075627,0.04802000000836415
LightGBM,9,0.975,1.0,0.96,0.9795918367346939,0.9751481237656353,1.0,1.0,0.9486832980505139,0.9473684210526316,0.9999999999999333,0.9374999999999415,0.013974563707506115,0.03452737018747857,0.04797500000677246
LightGBM,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,1.6293143858159077e-06,0.0003338893853051129,0.046640000005027105
MLP,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,0.002634581235775619,0.010914401568822535,0.004725000007965718
MLP,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,0.0001384596833614645,0.0028371956696480356,0.0047350000158985495
MLP,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,8.938936394406947e-07,0.0001507671803258096,0.004697500003203459
MLP,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,0.0013831335868161986,0.008731935210379037,0.005092500009595824
MLP,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,0.0002893912844396627,0.0032482237039065907,0.004654999997910636
MLP,6,0.975,1.0,0.96,0.9795918367346939,0.9751481237656353,1.0,1.0,0.9486832980505139,0.9473684210526316,0.9999999999999333,0.9374999999999415,0.014402116436293333,0.04441072078889633,0.0052574999926946475
MLP,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,0.004464682015509159,0.01934452853438095,0.00465250000161177
MLP,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,6.61259354946522e-07,0.00014382398208885992,0.005064999982096197
MLP,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,1.955631210516256e-06,0.000331480714356333,0.005672500014952675
MLP,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,0.00086122220977189,0.005737851344160449,0.005432499983726302
Hybrid Quantum Transformer,1,0.975,0.9615384615384616,1.0,0.9803921568627451,0.9748140635564571,0.9946666666666667,0.9968615384615386,0.9473309334313418,0.9459459459459459,0.9333333333332711,0.9999999999999286,0.02394449727467542,0.08694634207988686,1.0045349999927566
Hybrid Quantum Transformer,2,0.95,1.0,0.92,0.9583333333333334,0.9505208333333334,0.9706666666666667,0.9877777777777779,0.9009798587550961,0.8961038961038961,0.9999999999999333,0.8823529411764188,0.03980697540129725,0.18429989213761264,0.897450000002209
Hybrid Quantum Transformer,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,0.0021929324183023657,0.010103122310843706,0.9874249999938911
Hybrid Quantum Transformer,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,4.0131459484952447e-07,0.00033094858809196723,0.8863674999929572
Hybrid Quantum Transformer,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,4.455597957918332e-06,0.0006616574127498051,0.9866599999895699
Hybrid Quantum Transformer,6,0.975,1.0,0.96,0.9795918367346939,0.9751481237656353,1.0,1.0,0.9486832980505139,0.9473684210526316,0.9999999999999333,0.9374999999999415,0.007345780518911079,0.02229602243235007,1.003482500004793
Hybrid Quantum Transformer,7,0.95,0.96,0.96,0.96,0.95,0.9973333333333334,0.9984615384615385,0.8933333333333333,0.8933333333333333,0.9333333333332711,0.9333333333332711,0.02731535703282596,0.0717795282320494,0.9656400000039866
Hybrid Quantum Transformer,8,0.975,1.0,0.96,0.9795918367346939,0.9751481237656353,1.0,1.0,0.9486832980505139,0.9473684210526316,0.9999999999999333,0.9374999999999415,0.019815402244715247,0.0636593860234331,0.7979250000062166
Hybrid Quantum Transformer,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,4.330660279234013e-06,0.001032472201514514,0.9803874999988692
Hybrid Quantum Transformer,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999333,0.9999999999999333,6.903285589362925e-06,0.0012266339845859696,0.8534275000101843
