model,fold,acc,prec,rec,f1,f1_weighted,auc,auc_pr,mcc,kappa,specificity,npv,brier,log_loss_val,inference_ms
XGBoost,1,0.8,0.75,0.8571428571428571,0.8,0.8,0.8973214285714286,0.8824237270665841,0.6071428571428571,0.6017699115044248,0.7499999999999533,0.8571428571427959,0.12741878939452783,0.4230876577111552,0.048056666658643124
XGBoost,2,0.9333333333333333,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9333333333333333,0.9821428571428572,0.9804748822605964,0.8660714285714286,0.8660714285714286,0.9374999999999415,0.9374999999999415,0.05262275607169122,0.17468430515903766,0.04144666666737369
XGBoost,3,0.8,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8,0.8973214285714286,0.9175541849454891,0.5982142857142857,0.5982142857142857,0.8124999999999493,0.8124999999999493,0.13530504835191454,0.4358230999360115,0.04302999999102516
XGBoost,4,0.8,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8,0.8571428571428571,0.7895319957819957,0.5982142857142857,0.5982142857142857,0.8124999999999493,0.8124999999999493,0.1607594715641082,0.5235387438202918,0.051476666658345493
XGBoost,5,0.8,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8,0.8928571428571428,0.9091907834167894,0.5982142857142857,0.5982142857142857,0.8124999999999493,0.8124999999999493,0.13612866816192665,0.4111934013382778,0.04338333333180344
XGBoost,6,0.7,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.6989898989898989,0.7767857142857144,0.7387718213282124,0.39551460591314075,0.3946188340807175,0.7499999999999533,0.705882352941135,0.22902237637558592,0.7790782758839679,0.04764666667445756
XGBoost,7,0.8333333333333334,0.9090909090909091,0.7142857142857143,0.8,0.8304761904761905,0.8928571428571429,0.9025282466071938,0.6747699033149638,0.660633484162896,0.9374999999999415,0.7894736842104848,0.12947118265612698,0.49072924630605635,0.043586666667276106
XGBoost,8,0.7586206896551724,0.6875,0.8461538461538461,0.7586206896551724,0.7586206896551724,0.8125,0.8060933167538518,0.5336538461538461,0.5223529411764706,0.6874999999999571,0.8461538461537811,0.18784637538903762,0.5790419891551146,0.04586896552452878
XGBoost,9,0.8620689655172413,1.0,0.6923076923076923,0.8181818181818182,0.8571926158133054,0.9423076923076923,0.9426047808400746,0.7442084075352507,0.7128712871287128,0.9999999999999376,0.7999999999999601,0.13564220397976273,0.4519440236200741,0.047437931024088074
XGBoost,10,0.896551724137931,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.8967989123717711,0.9134615384615385,0.9294538794538791,0.7942674649391135,0.7923627684964201,0.8749999999999454,0.9333333333332711,0.1183519470540887,0.3824076319622024,0.04676896552500066
Classical TabTransformer,1,0.9666666666666667,1.0,0.9285714285714286,0.9629629629629629,0.9665544332210999,0.9732142857142857,0.9785714285714284,0.9348527048856053,0.9327354260089686,0.9999999999999376,0.94117647058818,0.07452878991357541,0.2604789673635374,0.0
Classical TabTransformer,2,0.8666666666666667,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8666666666666667,0.9732142857142857,0.9746031746031745,0.7321428571428571,0.7321428571428572,0.8749999999999454,0.8749999999999454,0.06881410603769421,0.21337941119034287,0.0
Classical TabTransformer,3,0.8333333333333334,0.8,0.8571428571428571,0.8275862068965517,0.8335187245087134,0.9642857142857143,0.9652396214896213,0.6681531047810609,0.6666666666666667,0.8124999999999493,0.8666666666666089,0.08038548914169809,0.24604524160392333,0.0
Classical TabTransformer,4,0.8333333333333334,0.8,0.8571428571428571,0.8275862068965517,0.8335187245087134,0.8928571428571428,0.8222274574165331,0.6681531047810609,0.6666666666666667,0.8124999999999493,0.8666666666666089,0.12928344539054273,0.4215164135391592,0.0
Classical TabTransformer,5,0.8666666666666667,0.8125,0.9285714285714286,0.8666666666666667,0.8666666666666667,0.9464285714285714,0.9586568322981366,0.7410714285714286,0.7345132743362832,0.8124999999999493,0.9285714285713622,0.09125919372434046,0.29160796717451204,0.0
