model,fold,acc,prec,rec,f1,f1_weighted,auc,auc_pr,mcc,kappa,specificity,npv,brier,log_loss_val,inference_ms
XGBoost,1,0.8349056603773585,0.4117647058823529,0.21875,0.2857142857142857,0.8129380053908355,0.6766927083333333,0.28234584883846525,0.2151170559159268,0.2021505376344086,0.9444444444444418,0.8717948717948695,0.13445522072014815,0.42741737968115734,0.005102830188987801
XGBoost,2,0.8018867924528302,0.25,0.15625,0.19230769230769232,0.7822229505126645,0.6739149305555555,0.2673820093584548,0.08930431353897003,0.0862068965517242,0.9166666666666641,0.8593749999999977,0.13849039833405416,0.43624106755287334,0.004917216979522908
XGBoost,3,0.7948113207547169,0.2982456140350877,0.265625,0.2809917355371901,0.7898639519837092,0.6287760416666667,0.22352802856485166,0.16215797063462117,0.1617887656789675,0.8888888888888864,0.8719346049046297,0.15086995765623115,0.4693720650309129,0.005288207547600218
XGBoost,4,0.8136792452830188,0.3404255319148936,0.25,0.2882882882882883,0.8015603222587171,0.6605034722222223,0.3099754123380092,0.1868835796503637,0.18397973104657972,0.9138888888888863,0.8726790450928358,0.14167491166148732,0.44748689099138045,0.00455047169675966
XGBoost,5,0.7948113207547169,0.27450980392156865,0.21875,0.24347826086956523,0.7850332446585275,0.6080295138888889,0.2686212981239005,0.127630864958472,0.12653911725705635,0.8972222222222197,0.8659517426273434,0.14596650460663543,0.4652160234234535,0.0046714622638593835
XGBoost,6,0.8443396226415094,0.46153846153846156,0.1875,0.26666666666666666,0.815379764690264,0.697265625,0.3263286925719129,0.22175034725993087,0.19660082682590718,0.9611111111111084,0.8693467336683395,0.12878136562402365,0.41616035271130997,0.0046471698105274555
XGBoost,7,0.8089622641509434,0.2894736842105263,0.16923076923076924,0.21359223300970873,0.7873850952371,0.6993786158131562,0.3010876868207841,0.11858978180089105,0.11329133532995983,0.9247910863509723,0.8601036269430029,0.1362936460660227,0.43367147431650616,0.004535849057593057
XGBoost,8,0.8254716981132075,0.30434782608695654,0.1076923076923077,0.1590909090909091,0.788645391351449,0.7448896507392329,0.3490202891002058,0.10040671069694322,0.08583415884855194,0.955431754874649,0.8553615960099729,0.12353697995974156,0.3958784106095908,0.0044728773583250035
XGBoost,9,0.7971698113207547,0.26666666666666666,0.18461538461538463,0.21818181818181817,0.7814790797993744,0.6040711377758732,0.23222435487377252,0.1084243319517681,0.10605540573670014,0.9080779944289668,0.8601583113456441,0.1500243126874289,0.4821147792665086,0.004669575472054828
XGBoost,10,0.8419811320754716,0.4722222222222222,0.26153846153846155,0.33663366336633666,0.8223625556463353,0.6780372830512108,0.30480023544370505,0.2696370417614536,0.2552432885906041,0.9470752089136463,0.8762886597938121,0.13309047310700337,0.42402111727697017,0.004434198114533913
Classical TabTransformer,1,0.8490566037735849,0.5,0.140625,0.21951219512195122,0.811251064872834,0.7305555555555555,0.3591976632158171,0.20530225224854481,0.1641202562838836,0.9749999999999972,0.8645320197044313,0.12428356730544635,0.40723921152615694,0.0
