model,fold,acc,prec,rec,f1,f1_weighted,auc,auc_pr,mcc,kappa,specificity,npv,brier,log_loss_val,inference_ms
XGBoost,1,0.7792207792207793,0.6470588235294118,0.8148148148148148,0.7213114754098361,0.7835795440237534,0.8637037037037038,0.7488972346312794,0.5523586388082835,0.5424676686473262,0.7599999999999848,0.8837209302325375,0.1560504197921425,0.470719637739844,0.024618181810950913
XGBoost,2,0.7922077922077922,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7922077922077922,0.837037037037037,0.6611512791692344,0.5437037037037037,0.5437037037037037,0.8399999999999832,0.8399999999999832,0.1593947149526972,0.5214785725581903,0.02170129870113693
XGBoost,3,0.7402597402597403,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.7402597402597403,0.797037037037037,0.70690276803279,0.42962962962962964,0.4296296296296296,0.799999999999984,0.799999999999984,0.19095905532384586,0.6019234411075353,0.01981428570840538
XGBoost,4,0.8311688311688312,0.7692307692307693,0.7407407407407407,0.7547169811320755,0.8304118821585663,0.8977777777777778,0.8398323936251686,0.626333112632122,0.6260739633918566,0.8799999999999824,0.8627450980391987,0.12509627605106258,0.3990799007979229,0.024724675325148396
XGBoost,5,0.7792207792207793,0.65625,0.7777777777777778,0.711864406779661,0.7827658514545224,0.8577777777777778,0.7937647236558547,0.5400660110544787,0.5349911190053286,0.7799999999999844,0.8666666666666474,0.14898457455573802,0.47451424412261084,0.02298571428570552
XGBoost,6,0.7532467532467533,0.6333333333333333,0.7037037037037037,0.6666666666666666,0.7559244878832507,0.8377777777777777,0.6576079915641928,0.4733002574487753,0.47165041531238716,0.7799999999999844,0.8297872340425355,0.17316505587144013,0.5368196253575598,0.023245454550695804
XGBoost,7,0.7792207792207793,0.6785714285714286,0.7037037037037037,0.6909090909090909,0.7801128164764528,0.8037037037037037,0.618371584270428,0.519487944872376,0.519280205655527,0.8199999999999835,0.836734693877534,0.1792458832029775,0.5530430503874475,0.022177922080838658
XGBoost,8,0.7922077922077922,0.6666666666666666,0.8148148148148148,0.7333333333333333,0.7959657363912682,0.8333333333333333,0.7245410281756117,0.5735421669624219,0.565891472868217,0.7799999999999844,0.8863636363636161,0.16896460662664256,0.5570082427732074,0.022046753243061674
XGBoost,9,0.7236842105263158,0.5757575757575758,0.7307692307692307,0.6440677966101694,0.7296768438318322,0.8084615384615385,0.7186194949309994,0.4314542408723264,0.42341040462427737,0.7199999999999855,0.8372093023255619,0.18395724184091422,0.5472405548044961,0.0267618421084511
XGBoost,10,0.6447368421052632,0.4782608695652174,0.4230769230769231,0.4489795918367347,0.6390351746217139,0.7253846153846154,0.5820825818720224,0.18906164316369653,0.18829113924050633,0.7599999999999848,0.7169811320754581,0.23709059751230688,0.7394671949722943,0.023486842098320363
Classical TabTransformer,1,0.7402597402597403,0.6,0.7777777777777778,0.6774193548387096,0.7457241216006995,0.7962962962962963,0.6012120416978248,0.4770278351999552,0.46601941747572817,0.7199999999999855,0.8571428571428367,0.17483694492505608,0.5144954718917164,0.0
Classical TabTransformer,2,0.8311688311688312,0.71875,0.8518518518518519,0.7796610169491526,0.8338797687593408,0.8666666666666667,0.7199106175510588,0.6505177583352088,0.644404973357016,0.8199999999999835,0.9111111111110908,0.13768142645503506,0.43018758098415555,0.0
Classical TabTransformer,3,0.6883116883116883,0.5483870967741935,0.6296296296296297,0.5862068965517241,0.6925660546350201,0.7637037037037038,0.61819134225392,0.3401851500506696,0.33810888252148996,0.7199999999999855,0.7826086956521568,0.19088031534143432,0.5851206740290273,0.0
Classical TabTransformer,4,0.8311688311688312,0.75,0.7777777777777778,0.7636363636363637,0.8318509773055228,0.922962962962963,0.8664286211990846,0.6326437348445768,0.6323907455012854,0.8599999999999828,0.8775510204081454,0.11177628353348151,0.35072453319920815,0.0
Classical TabTransformer,5,0.7792207792207793,0.7272727272727273,0.5925925925925926,0.6530612244897959,0.7732131813764467,0.8451851851851852,0.7844688825852439,0.49918452017784487,0.4936170212765957,0.8799999999999824,0.7999999999999854,0.14869318348286045,0.4766458423102163,0.0
Classical TabTransformer,6,0.7532467532467533,0.625,0.7407407407407407,0.6779661016949152,0.7572088928021131,0.7962962962962963,0.6782089239206888,0.4848401374141137,0.4802841918294849,0.7599999999999848,0.8444444444444257,0.17631573882111043,0.5175809139518762,0.0
Classical TabTransformer,7,0.7922077922077922,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7922077922077922,0.8725925925925926,0.8025568660831921,0.5437037037037037,0.5437037037037037,0.8399999999999832,0.8399999999999832,0.1374672386242657,0.42356757135929746,0.0
Classical TabTransformer,8,0.7662337662337663,0.6551724137931034,0.7037037037037037,0.6785714285714286,0.7680227935329976,0.8288888888888888,0.7318526478846876,0.49604652413672967,0.49526584122359796,0.799999999999984,0.8333333333333159,0.16102661128112633,0.4882360216093494,0.0
Classical TabTransformer,9,0.7105263157894737,0.5588235294117647,0.7307692307692307,0.6333333333333333,0.7172387490465294,0.7938461538461539,0.6877888442364248,0.41100986619007174,0.40114613180515757,0.699999999999986,0.8333333333333135,0.18361265583666958,0.527789809217665,0.0
